feedback_id,feedback_text,question,question_num,annotator_1,annotator_2,annotator_3
f19_q3,"I just hope that [PROFESSOR] can give us students more heads up on certain assessments. Other than that, I enjoyed learning during Sir [PROFESSOR] cla...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f19_q4,Make coding fun?,"Any further, constructive comment:",Q4,boredom,acceptance,acceptance
f20_q1,Be more resourceful and make more time for the class.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f20_q2,I like how sir stilll implements prayers before and after class,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f20_q3,A but fast for teaching but its managable,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f20_q4,Maybe he need to touch his students Heart. All students doesn't have the same capabilities in terms of time and availability. Being considerate is not...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f21_q1,More time to discuss and be detailed in explaining some codes.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f21_q2,"It is His willingness to help students that are struggling, and make up to the students.",What did you like best about your instructor's teaching?,Q2,acceptance,joy,acceptance
f21_q3,"I wish he would meet more but at times when he meets, it is worthwhile",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f21_q4,i hope to focus more on skill-based learning than making essays and so on,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f22_q1,Learning materials and the way a prof teaches the course and activities related to the course outcome,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f22_q2,it is His empathy toward the students,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f22_q3,Direct to the point,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f22_q4,"More lab time, because we learn more in doing rather than reading","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f23_q1,More related activities,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f23_q2,Explanation,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f23_q3,"I like the instructor's teaching style, but I sometimes dislike their strictness about time.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f23_q4,More time for system design for the first semester,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f24_q1,Lesson materials,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f24_q2,by being strict but also being able to find time to make the students enjoy the course,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f24_q3,"None. Well, his time was originally meant only for the lab, so we're really thankful that he takes the time to lecture with us and trusts our ability ...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f24_q4,Better feedback to student work,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f25_q1,less reporting. more teaching of real-world database application or guidance.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f25_q2,[PROFESSOR] consideration and acknowledging the students' limitation.,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f25_q3,Recitations,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f25_q4,Reduce work.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f26_q1,Latest learning materials,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f26_q2,"considerate and understands the student, validates their opinion, and knows how to vibe with them.",What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f26_q3,"none, just lack of time",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f26_q4,Be more active in teaching,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f27_q1,onsite coding examples and have more teaching time,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f27_q2,"One positive aspect of her teaching is her effort to present the PowerPoint and introduce the basics of the lessons. However, these only happen for a ...",What did you like best about your instructor's teaching?,Q2,acceptance,disappointment,acceptance
f27_q3,Challenging activities,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f27_q4,Teach us really and be open on ideas.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f28_q1,Like teaching the whole basics of coding not only the basics but the basics function of it,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f28_q2,Being chill and strict/serious at the same time,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f28_q3,Sometimes he does give us over the top activities for us but i know he did it for a better and for helping us improve in programming,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f28_q4,Improve unclearness,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f29_q1,Teaching about a certain programming language and make  a sample code,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f29_q2,Adopt on current state/changes,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f29_q3,Sometimes the challenges get a bit too hard yet it is stilll a worthwhile class to be in,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f29_q4,Need more teaching.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f30_q1,"Not sure, But keeping it on heavy practical activities is a good thing. ",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f30_q2,open to discuss sensitive topic,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f30_q3,Sometimes there are on the spot changes but its fine becuase sometimes those were emergencies,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f30_q4,Less information dumping so that students can absorb more without being overwhelmed,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f31_q1,More time in teaching databases,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f31_q2,Distant teaching making students to have convenient school and work time,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f31_q3,Sometimes her ways are hard to apply during application but for me i think im the one that needs to improve more,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f31_q4,"I wish it was more fun, engaging or interactive.","Any further, constructive comment:",Q4,boredom,acceptance,acceptance
f32_q1,better computers,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f32_q2,Make up classes,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f32_q3,not meeting us regularly i mean he meets us to teach but not that regularly. but i guess it is his way for us to learn on our own. and based on my obs...,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f32_q4,Try to be more energetic sir,"Any further, constructive comment:",Q4,boredom,acceptance,acceptance
f33_q1,time management,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f33_q2,Being realistic in all classes,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f33_q3,"What I liked least in our instructor's teaching is that she can be unpredictable at times, especially with the punishments given to those who are not ...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f33_q4,"To enhance the effectiveness of teaching the course, it would be beneficial to keep students engaged by explaining concepts in the instructor's own wo...","Any further, constructive comment:",Q4,boredom,acceptance,acceptance
f34_q1,Further expand the lessons,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f34_q2,always present,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f34_q3,"It's not that I disliked anything, but sometimes the real-life examples and explanations took up a lot of time, leaving less room for the rest of the ...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f34_q4,"Sure im bias, I might get low grades but that's my fault. Still, the only teacher that I may find his teaching method quite effective.","Any further, constructive comment:",Q4,acceptance,satisfaction,acceptance
f35_q1,Teach,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f35_q2,Always present,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f35_q3,slow and steady,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f35_q4,"Expand the tests/exams/quizzes beyond memorization of the meaning behind the topics, rather have it as an applied situation in real life happenings ","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f36_q1,"I would recommend incorporating more engaging teaching methods to make the course more dynamic and interactive. For instance, integrating group discus...",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f36_q2,Always present,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f36_q3,More prioritization,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f36_q4,the course is not for the newbie,"Any further, constructive comment:",Q4,disappointment,acceptance,acceptance
f37_q1,Add enough time to teach students,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f37_q2,Always present,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f37_q3,Communication,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f37_q4,Advance study could be conducted in this course,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f38_q1,Teach properly with the correct lesson plan aligned with the subject course,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f38_q2,Always present,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f38_q3,Assignments,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f38_q4,We did not get to meet our professor frequently in school which was kind of a bum because it was one of the fun and entertaining subjects for me perso...,"Any further, constructive comment:",Q4,acceptance,satisfaction,acceptance
f39_q1,Giving a chance,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f39_q2,He at the very least showed some proficiency in programming.,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f39_q3,ACTIVITIES,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f39_q4,"Regardless of what I suggested above, I also have a problem of my own in understanding things which made my INC grade makes sense therefore I will try...","Any further, constructive comment:",Q4,acceptance,satisfaction,acceptance
f40_q1,i have no major changes because the prof executed his job well the only problem was the time and the scheduling that's why. so if there is one thing i...,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f40_q2,They know what they are doing,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f40_q3,Needs time to demonstrate especially situations in some every action like situation in a lesson that rarely happen but struggling to emphasize what is...,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f40_q4,Bit late on class sometimes but will respond.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f41_q1,More topics regarding to the subject,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f41_q2,"It's all good, it's only on how he interact with his students.",What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f41_q3,His announcing time if he cannot meet the class,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f41_q4,More time ig,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f42_q1,"Include more hands-on activities related to setting up routers, switch, etc",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f42_q2,"First, I really appreciate that we are given plenty of time by our instructor to finish our requirements, including designated lecture time to work on...",What did you like best about your instructor's teaching?,Q2,acceptance,joy,acceptance
f42_q3,she gave us many activities,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f42_q4,Time,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f43_q1,"More in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f43_q2,Loud voice,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f43_q3,Same as the like one. Despite it being really helpful it was tough.,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f43_q4,"If the student really puts effort into the project, I think it’s only fair to be considerate and not fail them. (Genuine Comment <3)","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f44_q1,Easy explanation of the topic,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f44_q2,Their tone of speaking,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f44_q3,tricky question that's hard to answer,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f44_q4,More classes,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f45_q1,"More approachable way of teaching, and a much clearer and simpler teaching",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f45_q2,What I like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,What did you like best about your instructor's teaching?,Q2,acceptance,satisfaction,acceptance
f45_q3,it would be better to focus more on difficult and extensive lessons,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f45_q4,Nothing too outstanding. A consistent class that I have learned a thing or two from.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f46_q1,more unit,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f46_q2,The vibes in the classroom is like it gives a fatherly vibes,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f46_q3,Explain clearly,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f46_q4,I understand that her approach is meant to shape our discipline and encourage us to think independently.,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f47_q1,To have accessible Computer Lab,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f47_q2,Maybe giving feedback to the work,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f47_q3,I'm not sure. Maybe the pressuring of leading the class prayer,What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f47_q4,I appreciate our instructor’s efforts in guiding us. I hope there will be more detailed feedback on the outputs and fair grading so we can learn and i...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f48_q1,"To enhance the course, I recommend that the instructor demonstrate live coding implementations of data structures and algorithms, providing a step-by-...",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f48_q2,The slow teaching and applying it on a quiz,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f48_q3,"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f48_q4,Learn how to use easier methods,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f49_q1,let us use the computer while learning how to code,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f49_q2,The slow teaching and applying it on a quiz,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f49_q3,"i'll say she improved a lot now than how she was before, and im thinking its just cause she was pregnant that time, thats why she was so scary and gru...",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f49_q4,Needs more use of better methods,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f50_q1,give time to teach the students,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f50_q2,The prayers before and after the class and the way he encourage the students,What did you like best about your instructor's teaching?,Q2,acceptance,joy,acceptance
f50_q3,"Sometimes the lessons felt too detailed, but it was just to make sure everything was understood.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f50_q4,"My overall experience was good because there are patient/calm instructors who are willing to guide and teach the students. However, I would like to su...","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f51_q1,more hands on teaching on the spot learning,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f51_q2,gives us freedom to do what we can,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f51_q3,"The workload could feel heavy at times, but it helped me learn a lot.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f51_q4,"More hands-on activities and a slower pace would help us understand better.
","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f52_q1,"implementation of the concepts like giving a demonstration of that certain concept through coding, instead of teaching only the concept.",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f52_q2,freedom,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f52_q3,"Surprise quizzes were given, but I guess they helped us stay on track.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f52_q4,"i dont know what to say, i know hes still great, just busy. ","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f53_q1,"To improve this course, I recommend focusing on a more structured and detailed approach to teaching.",What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f53_q2,their kind,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f53_q3,"There were moments when the lecture pace was too fast, but I eventually caught up.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f53_q4,I hope he take time to explain more about the lessons and also asks the students if they really understand or need further explanations about the less...,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f54_q1,Explain slowly,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f54_q2,"He teach good, it just that we always report the subjects instead of he teach that to us",What did you like best about your instructor's teaching?,Q2,acceptance,disappointment,acceptance
f54_q3,"Group activities were overwhelming at first, but they improved our teamwork.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f54_q4,"My overall experience was good. However, I suggest that instructor should have been discussed the topics thoroughly.","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f55_q1,Teaching Techniques,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f55_q2,Nonchalant.,What did you like best about your instructor's teaching?,Q2,acceptance,irrelevant,acceptance
f55_q3,"Some explanations weren’t in-depth, but it encouraged me to study independently.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f55_q4,"My overall experience was good. However, I suggest that instructors should give us easy to hard hands-on activites, so that the students would not be ...","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f56_q1,Less delay or changes in schedule.,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f56_q2,none,What did you like best about your instructor's teaching?,Q2,acceptance,irrelevant,disappointment
f56_q3,"Deadlines were tight, but they taught me time management.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f56_q4,"My overall experience was good. I suggest that instructors should discuss topics using simple terms, so it's easier for students to understand the top...","Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f57_q1,Teaching Style,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f57_q2,He don't shout and allows us to explore about the projects,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
f57_q3,"Announcements sometimes came late, but understandable due to many responsibilities.",What did you like least about your instructor's teaching?,Q3,acceptance,acceptance,acceptance
f57_q4,I hope he talks slowly but well explained,"Any further, constructive comment:",Q4,acceptance,acceptance,acceptance
f58_q1,Give time for students to let the informations sink in to their minds before proceeding to another topic,What changes would you recommend to improve this course?,Q1,acceptance,acceptance,acceptance
f58_q2,Soft spoken,What did you like best about your instructor's teaching?,Q2,acceptance,acceptance,acceptance
