feedback_id,annotator_1,annotator_2,annotator_3
q1_f165,disappointment,disappointment,disappointment
q1_f166,disappointment,disappointment,disappointment
q1_f167,disappointment,disappointment,disappointment
q1_f168,disappointment,disappointment,disappointment
q1_f169,disappointment,disappointment,disappointment
q1_f17,acceptance,acceptance,acceptance
q1_f170,disappointment,disappointment,disappointment
q1_f171,disappointment,disappointment,disappointment
q1_f172,disappointment,disappointment,acceptance
q1_f173,disappointment,disappointment,disappointment
q1_f174,disappointment,disappointment,disappointment
q1_f175,disappointment,disappointment,disappointment
q1_f176,disappointment,disappointment,disappointment
q1_f177,disappointment,disappointment,disappointment
q1_f178,disappointment,disappointment,disappointment
q1_f179,disappointment,disappointment,acceptance
q1_f18,acceptance,acceptance,acceptance
q1_f180,disappointment,disappointment,acceptance
q1_f181,disappointment,disappointment,disappointment
q1_f182,disappointment,disappointment,disappointment
q1_f183,disappointment,disappointment,disappointment
q1_f184,disappointment,disappointment,disappointment
q1_f185,disappointment,disappointment,disappointment
q1_f186,disappointment,disappointment,disappointment
q1_f187,disappointment,disappointment,disappointment
q1_f188,disappointment,disappointment,disappointment
q1_f189,disappointment,disappointment,disappointment
q1_f19,acceptance,acceptance,acceptance
q1_f190,disappointment,disappointment,disappointment
q1_f191,disappointment,disappointment,disappointment
q1_f192,disappointment,disappointment,disappointment
q1_f193,disappointment,disappointment,disappointment
q1_f194,disappointment,disappointment,disappointment
q1_f195,disappointment,disappointment,disappointment
q1_f196,disappointment,disappointment,disappointment
q1_f197,disappointment,disappointment,disappointment
q1_f198,disappointment,disappointment,disappointment
q1_f199,disappointment,disappointment,disappointment
q1_f2,acceptance,acceptance,acceptance
q1_f20,acceptance,acceptance,acceptance
q1_f200,disappointment,disappointment,disappointment
q1_f201,disappointment,disappointment,disappointment
q1_f202,disappointment,disappointment,disappointment
q1_f203,disappointment,disappointment,acceptance
q1_f204,disappointment,disappointment,disappointment
q1_f205,disappointment,disappointment,disappointment
q1_f206,disappointment,disappointment,disappointment
q1_f207,disappointment,disappointment,disappointment
q1_f208,disappointment,disappointment,disappointment
q1_f209,disappointment,disappointment,disappointment
q1_f21,acceptance,acceptance,acceptance
q1_f210,disappointment,disappointment,disappointment
q1_f211,disappointment,disappointment,disappointment
q1_f212,disappointment,disappointment,disappointment
q1_f213,disappointment,disappointment,disappointment
q1_f214,disappointment,disappointment,disappointment
q1_f215,disappointment,disappointment,disappointment
q1_f216,disappointment,disappointment,disappointment
q1_f217,disappointment,disappointment,disappointment
q1_f218,disappointment,disappointment,disappointment
q1_f219,disappointment,disappointment,disappointment
q1_f22,acceptance,acceptance,acceptance
q1_f220,disappointment,disappointment,disappointment
q1_f221,disappointment,disappointment,disappointment
q1_f222,disappointment,disappointment,disappointment
q1_f223,disappointment,disappointment,disappointment
q1_f224,disappointment,disappointment,disappointment
q1_f225,disappointment,disappointment,disappointment
q1_f226,disappointment,disappointment,disappointment
q1_f227,disappointment,disappointment,disappointment
q1_f228,disappointment,disappointment,disappointment
q1_f229,disappointment,disappointment,disappointment
q1_f23,acceptance,acceptance,acceptance
q1_f230,disappointment,disappointment,disappointment
q1_f231,disappointment,disappointment,disappointment
q1_f232,disappointment,disappointment,disappointment
q1_f233,disappointment,disappointment,disappointment
q1_f234,disappointment,disappointment,disappointment
q1_f235,disappointment,disappointment,disappointment
q1_f236,disappointment,disappointment,disappointment
q1_f237,disappointment,disappointment,disappointment
q1_f238,disappointment,disappointment,disappointment
q1_f239,disappointment,disappointment,disappointment
q1_f24,acceptance,acceptance,acceptance
q1_f240,disappointment,disappointment,disappointment
q1_f241,disappointment,disappointment,disappointment
q1_f242,disappointment,disappointment,disappointment
q1_f243,disappointment,disappointment,disappointment
q1_f244,disappointment,disappointment,disappointment
q1_f245,disappointment,disappointment,disappointment
q1_f246,disappointment,disappointment,disappointment
q1_f247,disappointment,disappointment,disappointment
q1_f248,disappointment,disappointment,disappointment
q1_f249,disappointment,disappointment,disappointment
q1_f25,acceptance,acceptance,acceptance
q1_f250,disappointment,disappointment,disappointment
q1_f251,disappointment,disappointment,disappointment
q1_f252,disappointment,disappointment,disappointment
q1_f253,disappointment,disappointment,disappointment
q1_f254,disappointment,disappointment,disappointment
q1_f255,disappointment,disappointment,disappointment
q1_f256,disappointment,disappointment,disappointment
q1_f257,disappointment,disappointment,disappointment
q1_f258,disappointment,disappointment,disappointment
q1_f259,disappointment,disappointment,disappointment
q1_f26,acceptance,acceptance,acceptance
q1_f260,disappointment,disappointment,disappointment
q1_f261,disappointment,disappointment,disappointment
q1_f262,disappointment,disappointment,disappointment
q1_f263,disappointment,disappointment,disappointment
q1_f264,disappointment,disappointment,disappointment
q1_f265,disappointment,disappointment,disappointment
q1_f266,disappointment,disappointment,disappointment
q1_f267,disappointment,disappointment,disappointment
q1_f268,disappointment,disappointment,disappointment
q1_f269,disappointment,disappointment,disappointment
q1_f27,acceptance,acceptance,acceptance
q1_f270,disappointment,disappointment,disappointment
q1_f271,disappointment,disappointment,disappointment
q1_f272,disappointment,disappointment,disappointment
q1_f273,disappointment,disappointment,disappointment
q1_f274,disappointment,disappointment,disappointment
q1_f275,disappointment,disappointment,disappointment
q1_f276,disappointment,disappointment,disappointment
q1_f277,disappointment,disappointment,disappointment
q1_f278,disappointment,disappointment,disappointment
q1_f279,disappointment,disappointment,disappointment
q1_f28,acceptance,acceptance,acceptance
q1_f280,disappointment,disappointment,disappointment
q1_f281,disappointment,disappointment,disappointment
q1_f282,disappointment,disappointment,disappointment
q1_f283,disappointment,disappointment,disappointment
q1_f284,disappointment,disappointment,disappointment
q1_f285,disappointment,disappointment,disappointment
q1_f286,disappointment,disappointment,disappointment
q1_f287,satisfaction,satisfaction,satisfaction
q1_f288,satisfaction,satisfaction,acceptance
q1_f289,satisfaction,satisfaction,satisfaction
q1_f29,acceptance,acceptance,acceptance
q1_f290,satisfaction,satisfaction,satisfaction
q1_f291,satisfaction,satisfaction,satisfaction
q1_f292,satisfaction,satisfaction,satisfaction
q1_f293,satisfaction,satisfaction,satisfaction
q1_f294,satisfaction,satisfaction,satisfaction
q1_f295,satisfaction,satisfaction,satisfaction
q1_f296,satisfaction,satisfaction,satisfaction
q1_f297,satisfaction,satisfaction,satisfaction
q1_f298,satisfaction,satisfaction,satisfaction
q1_f299,satisfaction,satisfaction,satisfaction
q1_f3,acceptance,acceptance,acceptance
q1_f30,acceptance,acceptance,acceptance
q1_f300,satisfaction,satisfaction,satisfaction
q1_f301,satisfaction,satisfaction,satisfaction
q1_f302,satisfaction,satisfaction,satisfaction
q1_f303,satisfaction,satisfaction,satisfaction
q1_f304,satisfaction,satisfaction,satisfaction
q1_f305,satisfaction,satisfaction,satisfaction
q1_f306,satisfaction,satisfaction,satisfaction
q1_f307,satisfaction,satisfaction,satisfaction
q1_f308,satisfaction,satisfaction,satisfaction
q1_f309,satisfaction,satisfaction,satisfaction
q1_f31,acceptance,acceptance,acceptance
q1_f310,satisfaction,satisfaction,satisfaction
q1_f311,satisfaction,satisfaction,satisfaction
q1_f312,satisfaction,satisfaction,satisfaction
q1_f313,satisfaction,satisfaction,satisfaction
q1_f314,satisfaction,satisfaction,satisfaction
q1_f315,satisfaction,satisfaction,satisfaction
q1_f316,satisfaction,satisfaction,satisfaction
q1_f317,satisfaction,satisfaction,satisfaction
q1_f318,satisfaction,satisfaction,satisfaction
q1_f319,satisfaction,satisfaction,satisfaction
q1_f32,acceptance,acceptance,acceptance
q1_f320,satisfaction,satisfaction,satisfaction
q1_f321,satisfaction,satisfaction,satisfaction
q1_f322,satisfaction,satisfaction,satisfaction
q1_f323,satisfaction,satisfaction,satisfaction
q1_f324,satisfaction,satisfaction,satisfaction
q1_f325,satisfaction,satisfaction,satisfaction
q1_f326,satisfaction,satisfaction,satisfaction
q1_f327,satisfaction,satisfaction,satisfaction
q1_f328,satisfaction,satisfaction,satisfaction
q1_f329,satisfaction,satisfaction,satisfaction
q1_f33,acceptance,acceptance,acceptance
q1_f330,satisfaction,satisfaction,satisfaction
q1_f331,satisfaction,satisfaction,satisfaction
q1_f332,satisfaction,satisfaction,satisfaction
q1_f333,satisfaction,satisfaction,satisfaction
q1_f334,satisfaction,satisfaction,satisfaction
q1_f335,satisfaction,satisfaction,satisfaction
q1_f336,satisfaction,satisfaction,satisfaction
q1_f337,satisfaction,satisfaction,satisfaction
q1_f338,satisfaction,satisfaction,satisfaction
q1_f339,satisfaction,satisfaction,satisfaction
q1_f34,acceptance,acceptance,acceptance
q1_f340,satisfaction,satisfaction,satisfaction
q1_f341,satisfaction,satisfaction,satisfaction
q1_f342,satisfaction,satisfaction,satisfaction
q1_f343,satisfaction,satisfaction,satisfaction
q1_f344,satisfaction,satisfaction,satisfaction
q1_f345,satisfaction,satisfaction,satisfaction
q1_f346,satisfaction,satisfaction,satisfaction
q1_f347,satisfaction,satisfaction,satisfaction
q1_f348,satisfaction,satisfaction,satisfaction
q1_f349,satisfaction,satisfaction,satisfaction
q1_f35,acceptance,acceptance,acceptance
q1_f350,satisfaction,satisfaction,satisfaction
q1_f351,satisfaction,satisfaction,satisfaction
q1_f352,satisfaction,satisfaction,satisfaction
q1_f353,satisfaction,satisfaction,satisfaction
q1_f354,satisfaction,satisfaction,satisfaction
q1_f355,satisfaction,satisfaction,satisfaction
q1_f356,satisfaction,satisfaction,satisfaction
q1_f357,satisfaction,satisfaction,satisfaction
q1_f358,satisfaction,satisfaction,satisfaction
q1_f359,satisfaction,satisfaction,satisfaction
q1_f36,acceptance,acceptance,acceptance
q1_f360,satisfaction,satisfaction,satisfaction
q1_f361,satisfaction,satisfaction,satisfaction
q1_f362,satisfaction,satisfaction,satisfaction
q1_f363,satisfaction,satisfaction,satisfaction
q1_f364,satisfaction,satisfaction,satisfaction
q1_f365,satisfaction,satisfaction,satisfaction
q1_f366,satisfaction,satisfaction,satisfaction
q1_f367,satisfaction,satisfaction,satisfaction
q1_f368,satisfaction,satisfaction,satisfaction
q1_f369,satisfaction,satisfaction,satisfaction
q1_f37,acceptance,acceptance,acceptance
q1_f370,satisfaction,satisfaction,satisfaction
q1_f371,satisfaction,satisfaction,satisfaction
q1_f372,satisfaction,satisfaction,satisfaction
q1_f373,satisfaction,satisfaction,satisfaction
q1_f374,satisfaction,satisfaction,satisfaction
q1_f375,satisfaction,satisfaction,satisfaction
q1_f376,satisfaction,satisfaction,satisfaction
q1_f377,satisfaction,satisfaction,satisfaction
q1_f378,satisfaction,satisfaction,satisfaction
q1_f379,satisfaction,satisfaction,satisfaction
q1_f38,acceptance,acceptance,acceptance
q1_f380,satisfaction,satisfaction,satisfaction
q1_f381,satisfaction,satisfaction,satisfaction
q1_f382,satisfaction,satisfaction,satisfaction
q1_f383,satisfaction,satisfaction,satisfaction
q1_f384,satisfaction,satisfaction,satisfaction
q1_f385,satisfaction,satisfaction,satisfaction
q1_f386,satisfaction,satisfaction,satisfaction
q1_f387,satisfaction,satisfaction,satisfaction
q1_f388,satisfaction,satisfaction,satisfaction
q1_f389,satisfaction,satisfaction,satisfaction
q1_f39,acceptance,acceptance,acceptance
q1_f390,satisfaction,satisfaction,satisfaction
q1_f391,satisfaction,satisfaction,satisfaction
q1_f392,satisfaction,satisfaction,satisfaction
q1_f393,satisfaction,satisfaction,satisfaction
q1_f394,satisfaction,satisfaction,satisfaction
q1_f395,satisfaction,satisfaction,satisfaction
q1_f396,satisfaction,satisfaction,acceptance
q1_f397,satisfaction,satisfaction,satisfaction
q1_f398,satisfaction,satisfaction,satisfaction
q1_f399,satisfaction,satisfaction,satisfaction
q1_f4,acceptance,acceptance,acceptance
q1_f40,acceptance,acceptance,acceptance
q1_f400,satisfaction,satisfaction,satisfaction
q1_f401,satisfaction,satisfaction,satisfaction
q1_f402,satisfaction,satisfaction,satisfaction
q1_f403,satisfaction,satisfaction,satisfaction
q1_f404,satisfaction,satisfaction,satisfaction
q1_f405,satisfaction,satisfaction,satisfaction
q1_f406,satisfaction,satisfaction,satisfaction
q1_f407,satisfaction,satisfaction,satisfaction
q1_f408,satisfaction,satisfaction,satisfaction
q1_f409,satisfaction,satisfaction,satisfaction
q1_f41,acceptance,acceptance,acceptance
q1_f410,satisfaction,satisfaction,satisfaction
q1_f411,satisfaction,satisfaction,satisfaction
q1_f412,satisfaction,satisfaction,satisfaction
q1_f413,satisfaction,satisfaction,satisfaction
q1_f414,satisfaction,satisfaction,satisfaction
q1_f415,satisfaction,satisfaction,satisfaction
q1_f416,satisfaction,satisfaction,satisfaction
q1_f417,satisfaction,satisfaction,satisfaction
q1_f418,satisfaction,satisfaction,satisfaction
q1_f419,satisfaction,satisfaction,satisfaction
q1_f42,acceptance,acceptance,acceptance
q1_f420,satisfaction,satisfaction,satisfaction
q1_f421,satisfaction,satisfaction,satisfaction
q1_f422,satisfaction,satisfaction,satisfaction
q1_f423,satisfaction,satisfaction,satisfaction
q1_f424,satisfaction,satisfaction,satisfaction
q1_f425,satisfaction,satisfaction,satisfaction
q1_f426,satisfaction,satisfaction,satisfaction
q1_f427,satisfaction,satisfaction,satisfaction
q1_f428,satisfaction,satisfaction,satisfaction
q1_f429,satisfaction,satisfaction,satisfaction
q1_f43,acceptance,acceptance,acceptance
q1_f430,boredom,boredom,boredom
q1_f431,boredom,boredom,boredom
q1_f432,boredom,boredom,boredom
q1_f433,boredom,boredom,boredom
q1_f434,boredom,boredom,boredom
q1_f435,boredom,boredom,satisfaction
q1_f436,boredom,boredom,boredom
q1_f437,boredom,boredom,boredom
q1_f438,boredom,boredom,boredom
q1_f439,boredom,boredom,boredom
q1_f44,acceptance,acceptance,acceptance
q1_f440,boredom,boredom,boredom
q1_f441,boredom,boredom,boredom
q1_f442,boredom,boredom,boredom
q1_f443,boredom,boredom,boredom
q1_f444,boredom,boredom,boredom
q1_f445,boredom,boredom,boredom
q1_f446,boredom,boredom,boredom
q1_f447,boredom,boredom,boredom
q1_f448,boredom,boredom,boredom
q1_f449,boredom,boredom,boredom
q1_f45,acceptance,acceptance,acceptance
q1_f450,boredom,boredom,boredom
q1_f451,boredom,boredom,boredom
q1_f452,boredom,boredom,boredom
q1_f453,boredom,boredom,boredom
q1_f454,boredom,boredom,boredom
q1_f455,boredom,boredom,boredom
q1_f456,boredom,boredom,boredom
q1_f457,boredom,boredom,boredom
q1_f458,boredom,boredom,boredom
q1_f459,boredom,boredom,boredom
q1_f46,acceptance,acceptance,acceptance
q1_f460,boredom,boredom,boredom
q1_f461,boredom,boredom,boredom
q1_f462,boredom,boredom,boredom
q1_f463,boredom,boredom,boredom
q1_f464,boredom,boredom,boredom
q1_f465,boredom,boredom,boredom
q1_f466,boredom,boredom,boredom
q1_f467,boredom,boredom,boredom
q1_f468,boredom,boredom,boredom
q1_f469,boredom,boredom,boredom
q1_f47,acceptance,acceptance,acceptance
q1_f470,boredom,boredom,boredom
q1_f471,boredom,boredom,boredom
q1_f472,boredom,boredom,boredom
q1_f473,boredom,boredom,boredom
q1_f474,boredom,boredom,boredom
q1_f475,boredom,boredom,boredom
q1_f476,boredom,boredom,boredom
q1_f477,boredom,boredom,boredom
q1_f478,boredom,boredom,boredom
q1_f479,boredom,boredom,boredom
q1_f48,acceptance,acceptance,acceptance
q1_f480,boredom,boredom,boredom
q1_f481,boredom,boredom,boredom
q1_f482,boredom,boredom,boredom
q1_f483,boredom,boredom,boredom
q1_f484,boredom,boredom,boredom
q1_f485,boredom,boredom,boredom
q1_f486,boredom,boredom,boredom
q1_f487,boredom,boredom,boredom
q1_f488,boredom,boredom,boredom
q1_f489,boredom,boredom,boredom
q1_f49,acceptance,acceptance,acceptance
q1_f490,boredom,boredom,boredom
q1_f491,boredom,boredom,boredom
q1_f492,boredom,boredom,boredom
q1_f493,boredom,boredom,boredom
q1_f494,boredom,boredom,boredom
q1_f495,boredom,boredom,boredom
q1_f496,boredom,boredom,boredom
q1_f497,boredom,boredom,boredom
q1_f498,boredom,boredom,boredom
q1_f499,boredom,boredom,boredom
q1_f5,acceptance,acceptance,acceptance
q1_f50,acceptance,acceptance,acceptance
q1_f500,boredom,boredom,boredom
q1_f501,boredom,boredom,boredom
q1_f502,boredom,boredom,boredom
q1_f503,boredom,boredom,boredom
q1_f504,boredom,boredom,boredom
q1_f505,boredom,boredom,boredom
q1_f506,boredom,boredom,boredom
q1_f507,boredom,boredom,boredom
q1_f508,boredom,boredom,boredom
q1_f509,boredom,boredom,boredom
q1_f51,acceptance,acceptance,acceptance
q1_f510,boredom,boredom,boredom
q1_f511,boredom,boredom,boredom
q1_f512,boredom,boredom,boredom
q1_f513,boredom,boredom,boredom
q1_f514,boredom,boredom,boredom
q1_f515,boredom,boredom,boredom
q1_f516,boredom,boredom,boredom
q1_f517,boredom,boredom,boredom
q1_f518,boredom,boredom,boredom
q1_f519,boredom,boredom,boredom
q1_f52,acceptance,acceptance,acceptance
q1_f520,boredom,boredom,boredom
q1_f521,boredom,boredom,boredom
q1_f522,boredom,boredom,boredom
q1_f523,boredom,boredom,boredom
q1_f524,boredom,boredom,boredom
q1_f525,boredom,boredom,boredom
q1_f526,boredom,boredom,boredom
q1_f527,boredom,boredom,boredom
q1_f528,boredom,boredom,boredom
q1_f529,boredom,boredom,boredom
q1_f53,acceptance,acceptance,acceptance
q1_f530,boredom,boredom,boredom
q1_f531,boredom,boredom,boredom
q1_f532,boredom,boredom,boredom
q1_f533,boredom,boredom,boredom
q1_f534,boredom,boredom,boredom
q1_f535,boredom,boredom,boredom
q1_f536,boredom,boredom,boredom
q1_f537,boredom,boredom,boredom
q1_f538,boredom,boredom,boredom
q1_f539,boredom,boredom,boredom
q1_f54,acceptance,acceptance,acceptance
q1_f540,boredom,boredom,boredom
q1_f541,boredom,boredom,boredom
q1_f542,boredom,boredom,boredom
q1_f543,boredom,boredom,boredom
q1_f544,boredom,boredom,boredom
q1_f545,boredom,boredom,boredom
q1_f546,boredom,boredom,boredom
q1_f547,boredom,boredom,boredom
q1_f548,boredom,boredom,boredom
q1_f549,boredom,boredom,boredom
q1_f55,acceptance,acceptance,acceptance
q1_f550,boredom,boredom,boredom
q1_f551,boredom,boredom,boredom
q1_f552,boredom,boredom,boredom
q1_f553,boredom,boredom,boredom
q1_f554,boredom,boredom,boredom
q1_f555,boredom,boredom,boredom
q1_f556,boredom,boredom,boredom
q1_f557,boredom,boredom,boredom
q1_f558,boredom,boredom,boredom
q1_f559,boredom,boredom,boredom
q1_f56,acceptance,acceptance,acceptance
q1_f560,boredom,boredom,boredom
q1_f561,boredom,boredom,boredom
q1_f562,boredom,boredom,boredom
q1_f563,boredom,boredom,boredom
q1_f564,boredom,boredom,boredom
q1_f565,boredom,boredom,boredom
q1_f566,boredom,boredom,boredom
q1_f567,boredom,boredom,boredom
q1_f568,boredom,boredom,boredom
q1_f569,boredom,boredom,boredom
q1_f57,acceptance,acceptance,acceptance
q1_f570,boredom,boredom,boredom
q1_f571,boredom,boredom,boredom
q1_f572,boredom,boredom,boredom
q1_f573,joy,joy,joy
q1_f574,joy,joy,acceptance
q1_f575,joy,joy,acceptance
q1_f576,joy,joy,joy
q1_f577,joy,joy,acceptance
q1_f578,joy,joy,joy
q1_f579,joy,joy,satisfaction
q1_f58,acceptance,acceptance,acceptance
q1_f580,joy,joy,joy
q1_f581,joy,joy,joy
q1_f582,joy,joy,joy
q1_f583,joy,joy,joy
q1_f584,joy,joy,joy
q1_f585,joy,joy,joy
q1_f586,joy,joy,joy
q1_f587,joy,joy,satisfaction
q1_f588,joy,joy,joy
q1_f589,joy,joy,joy
q1_f59,acceptance,acceptance,acceptance
q1_f590,joy,joy,joy
q1_f591,joy,joy,joy
q1_f592,joy,joy,joy
q1_f593,joy,joy,joy
q1_f594,joy,joy,joy
q1_f595,joy,joy,joy
q1_f596,joy,joy,joy
q1_f597,joy,joy,joy
q1_f598,joy,joy,joy
q1_f599,joy,joy,joy
q1_f6,acceptance,acceptance,acceptance
q1_f60,acceptance,acceptance,acceptance
q1_f600,joy,joy,joy
q1_f601,joy,joy,joy
q1_f602,joy,joy,joy
q1_f603,joy,joy,joy
q1_f604,joy,joy,joy
q1_f605,joy,joy,joy
q1_f606,joy,joy,joy
q1_f607,joy,joy,satisfaction
q1_f608,joy,joy,joy
q1_f609,joy,joy,joy
q1_f61,acceptance,acceptance,acceptance
q1_f610,joy,joy,joy
q1_f611,joy,joy,joy
q1_f612,joy,joy,joy
q1_f613,joy,joy,joy
q1_f614,joy,joy,joy
q1_f615,joy,joy,joy
q1_f616,joy,joy,joy
q1_f617,joy,joy,joy
q1_f618,joy,joy,joy
q1_f619,joy,joy,joy
q1_f62,acceptance,acceptance,acceptance
q1_f620,joy,joy,joy
q1_f621,joy,joy,joy
q1_f622,joy,joy,joy
q1_f623,joy,joy,joy
q1_f624,joy,joy,joy
q1_f625,joy,joy,joy
q1_f626,joy,joy,joy
q1_f627,joy,joy,joy
q1_f628,joy,joy,joy
q1_f629,joy,joy,joy
q1_f63,acceptance,acceptance,acceptance
q1_f630,joy,joy,joy
q1_f631,joy,joy,joy
q1_f632,joy,joy,joy
q1_f633,joy,joy,joy
q1_f634,joy,joy,joy
q1_f635,joy,joy,joy
q1_f636,joy,joy,joy
q1_f637,joy,joy,joy
q1_f638,joy,joy,joy
q1_f639,joy,joy,joy
q1_f64,acceptance,acceptance,acceptance
q1_f640,joy,joy,joy
q1_f641,joy,joy,joy
q1_f642,joy,joy,joy
q1_f643,joy,joy,joy
q1_f644,joy,joy,joy
q1_f645,joy,joy,joy
q1_f646,joy,joy,joy
q1_f647,joy,joy,joy
q1_f648,joy,joy,joy
q1_f649,joy,joy,joy
q1_f65,acceptance,acceptance,acceptance
q1_f650,joy,joy,joy
q1_f651,joy,joy,joy
q1_f652,joy,joy,joy
q1_f653,joy,joy,joy
q1_f654,joy,joy,joy
q1_f655,joy,joy,joy
q1_f656,joy,joy,joy
q1_f657,joy,joy,joy
q1_f658,joy,joy,joy
q1_f659,joy,joy,joy
q1_f66,acceptance,acceptance,acceptance
q1_f660,joy,joy,joy
q1_f661,joy,joy,joy
q1_f662,joy,joy,joy
q1_f663,joy,joy,joy
q1_f664,joy,joy,joy
q1_f665,joy,joy,joy
q1_f666,joy,joy,joy
q1_f667,joy,joy,joy
q1_f668,joy,joy,joy
q1_f669,joy,joy,joy
q1_f67,acceptance,acceptance,acceptance
q1_f670,joy,joy,joy
q1_f671,joy,joy,joy
q1_f672,joy,joy,joy
q1_f673,joy,joy,joy
q1_f674,joy,joy,joy
q1_f675,joy,joy,joy
q1_f676,joy,joy,joy
q1_f677,joy,joy,joy
q1_f678,joy,joy,joy
q1_f679,joy,joy,joy
q1_f68,acceptance,acceptance,acceptance
q1_f680,joy,joy,joy
q1_f681,joy,joy,joy
q1_f682,joy,joy,joy
q1_f683,joy,joy,joy
q1_f684,joy,joy,joy
q1_f685,joy,joy,joy
q1_f686,joy,joy,joy
q1_f687,joy,joy,joy
q1_f688,joy,joy,joy
q1_f689,joy,joy,joy
q1_f69,acceptance,acceptance,acceptance
q1_f690,joy,joy,joy
q1_f691,joy,joy,joy
q1_f692,joy,joy,joy
q1_f693,joy,joy,joy
q1_f694,joy,joy,joy
q1_f695,joy,joy,joy
q1_f696,joy,joy,joy
q1_f697,joy,joy,joy
q1_f698,joy,joy,joy
q1_f699,joy,joy,joy
q1_f7,acceptance,acceptance,acceptance
q1_f70,acceptance,acceptance,acceptance
q1_f700,joy,joy,joy
q1_f701,joy,joy,joy
q1_f702,joy,joy,joy
q1_f703,joy,joy,joy
q1_f704,joy,joy,joy
q1_f705,joy,joy,joy
q1_f706,joy,joy,joy
q1_f707,joy,joy,joy
q1_f708,joy,joy,joy
q1_f709,joy,joy,joy
q1_f71,acceptance,acceptance,acceptance
q1_f710,joy,joy,joy
q1_f711,joy,joy,joy
q1_f712,joy,joy,joy
q1_f713,joy,joy,joy
q1_f714,joy,joy,joy
q1_f715,joy,joy,joy
q1_f72,acceptance,acceptance,satisfaction
q1_f73,acceptance,acceptance,acceptance
q1_f74,acceptance,acceptance,acceptance
q1_f75,acceptance,acceptance,acceptance
q1_f76,acceptance,acceptance,acceptance
q1_f77,acceptance,acceptance,acceptance
q1_f78,acceptance,acceptance,acceptance
q1_f79,acceptance,acceptance,acceptance
q1_f8,acceptance,acceptance,acceptance
q1_f80,acceptance,acceptance,acceptance
q1_f81,acceptance,acceptance,acceptance
q1_f82,acceptance,acceptance,acceptance
q1_f83,acceptance,acceptance,acceptance
q1_f84,acceptance,acceptance,acceptance
q1_f85,acceptance,acceptance,acceptance
q1_f86,acceptance,acceptance,acceptance
q1_f87,acceptance,acceptance,acceptance
q1_f88,acceptance,acceptance,acceptance
q1_f89,acceptance,acceptance,acceptance
