feedback_id,feedback,question,label,label_id,annotator_1,annotator_2,annotator_3
f13_q3,"sometimes, the way she explains the lesson it easy to understand, but the activities she gives are more difficult than the example. however, i am fine ...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f13_q4,the way she teach is okay...just do not make the all the topics or lessons be in 1 day. example: we have 8 topics or lessons....in every time we take t...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f14_q1,more time since summer has a shorter length for classes compared to normal semester,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f14_q2,he guides students who has concerns about the lesson and give an advice or idea about their concerns,what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f14_q3,"she is a good teacher, it is just that i occasionally miss things because her voice is often soft.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f14_q4,i hope she will change her teaching skills make it more bearable and give justice to the subject matter. i know she can do best!! :),"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f15_q1,"more on after lesson activities (like hands on coding, that [professor] was already doing in database subject), even if its not graded, just so we kno...",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f15_q2,interactive,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f15_q3,strict si ma'am pero understandable naman.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f15_q4,only if you have lot of time for the subject matter i would appreciate it more! but we do understand that you have a lot things to do specially you are...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f16_q1,learning materials and the way a prof teaches the course,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f16_q2,understanding towards students,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f16_q3,late pero ok na,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f16_q4,the teacher only read powerpoint please explain,"any further, constructive comment:",acceptance,2,disappointment,acceptance,acceptance
f17_q1,more group activities/quicker pace on lessons,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f17_q2,the stock knowledge and information about the topics.,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f17_q3,"i like sir [professor] and his teaching methods. however, there are times when i feel a bit overwhelmed by the volume of materials and powerpoint pres...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f17_q4,improve quality of teaching as overall,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f18_q1,acknowledge different coding standard,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f18_q2,he knows what he is saying.,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f18_q3,lacking communication(understandable because of busy schedules),what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f18_q4,"overall it was not the worse one i have went through, there is still room for improvement.","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f19_q1,more reliable source or instructions.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f19_q2,strict and straight to the point,what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f19_q3,"i just hope that [professor] can give us students more heads up on certain assessments. other than that, i enjoyed learning during sir [professor] cla...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f19_q4,make coding fun?,"any further, constructive comment:",acceptance,2,boredom,acceptance,acceptance
f20_q1,be more resourceful and make more time for the class.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f20_q2,i like how sir stilll implements prayers before and after class,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f20_q3,a but fast for teaching but its managable,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f20_q4,maybe he need to touch his students heart. all students does not have the same capabilities in terms of time and availability. being considerate is not...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f21_q1,more time to discuss and be detailed in explaining some codes.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f21_q2,"it is his willingness to help students that are struggling, and make up to the students.",what did you like best about your instructor is teaching?,acceptance,2,acceptance,joy,acceptance
f21_q3,"i wish he would meet more but at times when he meets, it is worthwhile",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f21_q4,i hope to focus more on skill-based learning than making essays and so on,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f22_q1,learning materials and the way a prof teaches the course and activities related to the course outcome,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f22_q2,it is his empathy toward the students,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f22_q3,direct to the point,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f22_q4,"more lab time, because we learn more in doing rather than reading","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f23_q1,more related activities,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f23_q2,explanation,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f23_q3,"i like the instructor is teaching style, but i sometimes dislike their strictness about time.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f23_q4,more time for system design for the first semester,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f24_q1,lesson materials,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f24_q2,by being strict but also being able to find time to make the students enjoy the course,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f24_q3,"none. well, his time was originally meant only for the lab, so we are really thankful that he takes the time to lecture with us and trusts our ability ...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f24_q4,better feedback to student work,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f25_q1,less reporting. more teaching of real-world database application or guidance.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f25_q2,[professor] consideration and acknowledging the students' limitation.,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f25_q3,recitations,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f25_q4,reduce work.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f26_q1,latest learning materials,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f26_q2,"considerate and understands the student, validates their opinion, and knows how to vibe with them.",what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f26_q3,"none, just lack of time",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f26_q4,be more active in teaching,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f27_q1,onsite coding examples and have more teaching time,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f27_q2,"one positive aspect of her teaching is her effort to present the powerpoint and introduce the basics of the lessons. however, these only happen for a ...",what did you like best about your instructor is teaching?,acceptance,2,acceptance,disappointment,acceptance
f27_q3,challenging activities,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f27_q4,teach us really and be open on ideas.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f28_q1,like teaching the whole basics of coding not only the basics but the basics function of it,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f28_q2,being chill and strict/serious at the same time,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f28_q3,sometimes he does give us over the top activities for us but i know he did it for a better and for helping us improve in programming,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f28_q4,improve unclearness,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f29_q1,teaching about a certain programming language and make a sample code,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f29_q2,adopt on current state/changes,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f29_q3,sometimes the challenges get a bit too hard yet it is stilll a worthwhile class to be in,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f29_q4,need more teaching.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f30_q1,"not sure, but keeping it on heavy practical activities is a good thing.",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f30_q2,open to discuss sensitive topic,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f30_q3,sometimes there are on the spot changes but its fine becuase sometimes those were emergencies,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f30_q4,less information dumping so that students can absorb more without being overwhelmed,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f31_q1,more time in teaching databases,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f31_q2,distant teaching making students to have convenient school and work time,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f31_q3,sometimes her ways are hard to apply during application but for me i think im the one that needs to improve more,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f31_q4,"i wish it was more fun, engaging or interactive.","any further, constructive comment:",acceptance,2,boredom,acceptance,acceptance
f32_q1,better computers,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f32_q2,make up classes,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f32_q3,not meeting us regularly i mean he meets us to teach but not that regularly. but i guess it is his way for us to learn on our own. and based on my obs...,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f32_q4,try to be more energetic sir,"any further, constructive comment:",acceptance,2,boredom,acceptance,acceptance
f33_q1,time management,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f33_q2,being realistic in all classes,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f33_q3,"what i liked least in our instructor is teaching is that she can be unpredictable at times, especially with the punishments given to those who are not ...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f33_q4,"to enhance the effectiveness of teaching the course, it would be beneficial to keep students engaged by explaining concepts in the instructor is own wo...","any further, constructive comment:",acceptance,2,boredom,acceptance,acceptance
f34_q1,further expand the lessons,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f34_q2,always present,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f34_q3,"it is not that i disliked anything, but sometimes the real-life examples and explanations took up a lot of time, leaving less room for the rest of the ...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f34_q4,"sure im bias, i might get low grades but that is my fault. still, the only teacher that i may find his teaching method quite effective.","any further, constructive comment:",acceptance,2,acceptance,satisfaction,acceptance
f35_q1,teach,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f35_q2,always present,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f35_q3,slow and steady,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f35_q4,"expand the tests/exams/quizzes beyond memorization of the meaning behind the topics, rather have it as an applied situation in real life happenings","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f36_q1,"i would recommend incorporating more engaging teaching methods to make the course more dynamic and interactive. for instance, integrating group discus...",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f36_q2,always present,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f36_q3,more prioritization,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f36_q4,the course is not for the newbie,"any further, constructive comment:",acceptance,2,disappointment,acceptance,acceptance
f37_q1,add enough time to teach students,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f37_q2,always present,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f37_q3,communication,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f37_q4,advance study could be conducted in this course,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f38_q1,teach properly with the correct lesson plan aligned with the subject course,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f38_q2,always present,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f38_q3,assignments,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f38_q4,we did not get to meet our professor frequently in school which was kind of a bum because it was one of the fun and entertaining subjects for me perso...,"any further, constructive comment:",acceptance,2,acceptance,satisfaction,acceptance
f39_q1,giving a chance,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f39_q2,he at the very least showed some proficiency in programming.,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f39_q3,activities,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f39_q4,"regardless of what i suggested above, i also have a problem of my own in understanding things which made my inc grade makes sense therefore i will try...","any further, constructive comment:",acceptance,2,acceptance,satisfaction,acceptance
f40_q1,i have no major changes because the prof executed his job well the only problem was the time and the scheduling that is why. so if there is one thing i...,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f40_q2,they know what they are doing,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f40_q3,needs time to demonstrate especially situations in some every action like situation in a lesson that rarely happen but struggling to emphasize what is...,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f40_q4,bit late on class sometimes but will respond.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f41_q1,more topics regarding to the subject,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f41_q2,"it is all good, it is only on how he interact with his students.",what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f41_q3,his announcing time if he cannot meet the class,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f41_q4,more time ig,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f42_q1,"include more hands-on activities related to setting up routers, switch, etc",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f42_q2,"first, i really appreciate that we are given plenty of time by our instructor to finish our requirements, including designated lecture time to work on...",what did you like best about your instructor is teaching?,acceptance,2,acceptance,joy,acceptance
f42_q3,she gave us many activities,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f42_q4,time,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f43_q1,"more in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f43_q2,loud voice,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f43_q3,same as the like one. despite it being really helpful it was tough.,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f43_q4,"if the student really puts effort into the project, i think it’s only fair to be considerate and not fail them. (genuine comment <3)","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f44_q1,easy explanation of the topic,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f44_q2,their tone of speaking,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f44_q3,tricky question that is hard to answer,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f44_q4,more classes,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f45_q1,"more approachable way of teaching, and a much clearer and simpler teaching",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f45_q2,what i like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,what did you like best about your instructor is teaching?,acceptance,2,acceptance,satisfaction,acceptance
f45_q3,it would be better to focus more on difficult and extensive lessons,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f45_q4,nothing too outstanding. a consistent class that i have learned a thing or two from.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f46_q1,more unit,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f46_q2,the vibes in the classroom is like it gives a fatherly vibes,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f46_q3,explain clearly,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f46_q4,i understand that her approach is meant to shape our discipline and encourage us to think independently.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f47_q1,to have accessible computer lab,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f47_q2,maybe giving feedback to the work,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f47_q3,i am not sure. maybe the pressuring of leading the class prayer,what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f47_q4,i appreciate our instructor’s efforts in guiding us. i hope there will be more detailed feedback on the outputs and fair grading so we can learn and i...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f48_q1,"to enhance the course, i recommend that the instructor demonstrate live coding implementations of data structures and algorithms, providing a step-by-...",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f48_q2,the slow teaching and applying it on a quiz,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f48_q3,"it is difficult to pinpoint anything i disliked about my instructor. the course was well-structured. if i had to offer one suggestion, it might be face...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f48_q4,learn how to use easier methods,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f49_q1,let us use the computer while learning how to code,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f49_q2,the slow teaching and applying it on a quiz,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f49_q3,"i will say she improved a lot now than how she was before, and im thinking its just cause she was pregnant that time, thats why she was so scary and gru...",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f49_q4,needs more use of better methods,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f50_q1,give time to teach the students,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f50_q2,the prayers before and after the class and the way he encourage the students,what did you like best about your instructor is teaching?,acceptance,2,acceptance,joy,acceptance
f50_q3,"sometimes the lessons felt too detailed, but it was just to make sure everything was understood.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f50_q4,"my overall experience was good because there are patient/calm instructors who are willing to guide and teach the students. however, i would like to su...","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f51_q1,more hands on teaching on the spot learning,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f51_q2,gives us freedom to do what we can,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f51_q3,"the workload could feel heavy at times, but it helped me learn a lot.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f51_q4,more hands-on activities and a slower pace would help us understand better.,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f52_q1,"implementation of the concepts like giving a demonstration of that certain concept through coding, instead of teaching only the concept.",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f52_q2,freedom,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f52_q3,"surprise quizzes were given, but i guess they helped us stay on track.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f52_q4,"i dont know what to say, i know hes still great, just busy.","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f53_q1,"to improve this course, i recommend focusing on a more structured and detailed approach to teaching.",what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f53_q2,their kind,what did you like best about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f53_q3,"there were moments when the lecture pace was too fast, but i eventually caught up.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f53_q4,i hope he take time to explain more about the lessons and also asks the students if they really understand or need further explanations about the less...,"any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f54_q1,explain slowly,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f54_q2,"he teach good, it just that we always report the subjects instead of he teach that to us",what did you like best about your instructor is teaching?,acceptance,2,acceptance,disappointment,acceptance
f54_q3,"group activities were overwhelming at first, but they improved our teamwork.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f54_q4,"my overall experience was good. however, i suggest that instructor should have been discussed the topics thoroughly.","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f55_q1,teaching techniques,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f55_q2,nonchalant.,what did you like best about your instructor is teaching?,acceptance,2,acceptance,irrelevant,acceptance
f55_q3,"some explanations weren’t in-depth, but it encouraged me to study independently.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
f55_q4,"my overall experience was good. however, i suggest that instructors should give us easy to hard hands-on activites, so that the students would not be ...","any further, constructive comment:",acceptance,2,acceptance,acceptance,acceptance
f56_q1,less delay or changes in schedule.,what changes would you recommend to improve this course?,acceptance,2,acceptance,acceptance,acceptance
f56_q2,none,what did you like best about your instructor is teaching?,acceptance,2,acceptance,irrelevant,disappointment
f56_q3,"deadlines were tight, but they taught me time management.",what did you like least about your instructor is teaching?,acceptance,2,acceptance,acceptance,acceptance
